Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.0318E-09,4.3459E-09,-0.023428,0,0,0,0.087299,3.2916E-05,-4.1224E-13,2.3375E-12,4.5533E-05,-8.4152E-12,5.6408E-05,0,0,0,0,0,0,package://wheellegv3/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/base_link.STL,,GB4310带后盖.STEP-3/PM4310-3_2.STEP-2;GB4310带后盖.STEP-5/PM4310-3_2.STEP-2;GB4310带后盖.STEP-4/PM4310-3_2.STEP-2;GB4310带后盖.STEP-2/PM4310-3_2.STEP-2;动力锂电池-1;4310机架.step-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_forw_link,0.0034279,-0.0099171,-3.8889E-07,0,0,0,0.042996,6.8184E-06,2.8536E-07,-2.2276E-10,1.5352E-05,-1.2739E-10,1.045E-05,0,0,0,0,0,0,package://wheellegv3/meshes/right_forw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/right_forw_link.STL,,GB4310带后盖.STEP-3/PM4310-3_________2.STEP-2;大腿4310-1/大腿4310.step-1/适配4310大腿.SLDPRT.step-1,right_forw_link,A_right_forw_link,right_forw_joint,revolute,0.0299999999999996,-0.0465000000000061,-0.0207477149373764,0,0,0,base_link,0,1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
right_forw_p_link,-0.045053,-0.0026109,-0.038298,0,0,0,0.010927,7.603E-06,-5.4236E-08,8.2643E-06,1.7867E-05,-4.6105E-08,1.0317E-05,0,0,0,0,0,0,package://wheellegv3/meshes/right_forw_p_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/right_forw_p_link.STL,,小腿X4.step-2/shapr3d_export_2024-12-28_17h02m.step.step-1/小腿.STEP.step-1,right_forw_p_link,A_right_forw_p_link,right_forw_p_joint,revolute,0.0499999999999997,-0.0210000000000049,0,0,0,0,right_forw_link,0,1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
right_wheel_link,-1.46910271955547E-15,-0.0187058289078307,1.52655665885959E-16,0,0,0,0.0374222602870922,7.25500249681016E-06,-1.48671326226004E-20,-3.17104221546763E-22,1.21224733518734E-05,-4.68572242438866E-22,7.25500249681016E-06,0,0,0,0,0,0,package://wheellegv3/meshes/right_wheel_link.STL,0.0588235294117647,0.0588235294117647,0.0588235294117647,1,0,0,0,0,0,0,package://wheellegv3/meshes/right_wheel_link.STL,,2804电机-2;车轮-1;轮胎-2,right_wheel_link,A_right_wheel_link,right_wheel_joint,continuous,-0.0799999999999986,0,-0.0680073525436785,0,0,0,right_forw_p_link,0,1,0,0.03,2600,,,,,0.001,0,,,,
right_back_link,-0.0034279,-0.010515,3.8889E-07,0,0,0,0.042996,6.8184E-06,2.7501E-07,-2.2276E-10,1.5352E-05,1.2739E-10,1.045E-05,0,0,0,0,0,0,package://wheellegv3/meshes/right_back_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/right_back_link.STL,,GB4310带后盖.STEP-5/PM4310-3_________2.STEP-2;大腿4310-4/大腿4310.step-1/适配4310大腿.SLDPRT.step-1,right_back_link,A_right_back_link,right_back_joint,revolute,-0.03,-0.0465000000000061,-0.0207477149373767,0,0,0,base_link,0,1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
right_back_p_link,0.045053,0.0026109,-0.038298,0,0,0,0.010927,7.603E-06,-5.4236E-08,-8.2643E-06,1.7867E-05,4.6105E-08,1.0317E-05,0,0,0,0,0,0,package://wheellegv3/meshes/right_back_p_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/right_back_p_link.STL,,小腿X4.step-4/shapr3d_export_2024-12-28_17h02m.step.step-1/小腿.STEP.step-1,right_back_p_link,A_right_back_p_link,right_back_p_joint,revolute,-0.0500000000000002,-0.0210000000000046,0,0,0,0,right_back_link,0,1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
left_forw_link,0.0034279,0.0099171,3.8889E-07,0,0,0,0.042996,6.8184E-06,-2.8536E-07,2.2276E-10,1.5352E-05,-1.2739E-10,1.045E-05,0,0,0,0,0,0,package://wheellegv3/meshes/left_forw_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/left_forw_link.STL,,GB4310带后盖.STEP-2/PM4310-3_________2.STEP-2;大腿4310-2/大腿4310.step-1/适配4310大腿.SLDPRT.step-1,left_forw_link,A_left_forw_link,left_forw_joint,revolute,0.0299999999999997,0.0465000000000062,-0.0207477149373772,0,0,0,base_link,0,-1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
left_forw_p_link,-0.045052,0.0026109,-0.038299,0,0,0,0.010927,7.62E-06,5.4235E-08,8.2671E-06,1.7867E-05,4.6106E-08,1.03E-05,0,0,0,0,0,0,package://wheellegv3/meshes/left_forw_p_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/left_forw_p_link.STL,,小腿X4.step-3/shapr3d_export_2024-12-28_17h02m.step.step-1/小腿.STEP.step-1,left_forw_p_link,A_left_forw_p_link,left_forw_p_joint,revolute,0.0500000000000001,0.0209999999999993,0,0,0,0,left_forw_link,0,-1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
left_wheel_link,7.7996E-16,0.018706,-5.5511E-17,0,0,0,0.037422,7.255E-06,-1.4789E-20,-1.1529E-21,1.2122E-05,-3.6261E-22,7.255E-06,0,0,0,0,0,0,package://wheellegv3/meshes/left_wheel_link.STL,0.058824,0.058824,0.058824,1,0,0,0,0,0,0,package://wheellegv3/meshes/left_wheel_link.STL,,2804电机-1;轮胎-1;车轮-2,left_wheel_link,A_left_wheel_link,left_wheel_joint,continuous,-0.08,0,-0.068007,0,0,0,left_forw_p_link,0,1,0,0.03,2600,,,,,0.001,0,,,,
left_back_link,-1.0318E-09,4.3459E-09,-0.023428,0,0,0,0.087299,3.2916E-05,-4.1224E-13,2.3375E-12,4.5533E-05,-8.4152E-12,5.6408E-05,0,0,0,0,0,0,package://wheellegv3/meshes/left_back_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/left_back_link.STL,,GB4310带后盖.STEP-4/PM4310-3_________2.STEP-2;大腿4310-3/大腿4310.step-1/适配4310大腿.SLDPRT.step-1,left_back_link,A_left_back_link,left_back_joint,revolute,-0.03,0.0465,-0.020748,0,0,0,base_link,0,-1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
left_back_p_link,0.045052,-0.0026109,-0.038299,0,0,0,0.010927,7.62E-06,5.4235E-08,-8.2671E-06,1.7867E-05,-4.6106E-08,1.03E-05,0,0,0,0,0,0,package://wheellegv3/meshes/left_back_p_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://wheellegv3/meshes/left_back_p_link.STL,,小腿X4.step-5/shapr3d_export_2024-12-28_17h02m.step.step-1/小腿.STEP.step-1,left_back_p_link,A_left_back_p_link,left_back_p_joint,revolute,-0.0500000000000008,0.0210000000000049,0,0,0,0,left_back_link,0,-1,0,0.49,504,-3.14,3.14,,,0.005,0,,,,
